"명칭","좌표주소","위도","경도","상세주소","상세내용"
"방범 CCTV","대한민국 서울특별시 금천구 가산로5길 77","37.4736969","126.89044949999993","가산로5길 77","관리번호: P280"
"방범 CCTV","대한민국 서울특별시 금천구 가산로7길 103","37.4726618","126.88836420000007","가산로7길 103","관리번호: P281"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로 440","37.4728558","126.8988832","시흥대로 440","관리번호: P282-1"
"방범 CCTV","대한민국 서울특별시 금천구 벚꽃로44길 9","37.4826143","126.88316609999992","벚꽃로44길 9","관리번호: T125"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로151길 46","37.47648179999999","126.89658239999994","시흥대로151길 46","관리번호: T126"
"방범 CCTV","대한민국 서울특별시 금천구 독산로","37.4590357","126.90422650000005","독산로 107길 13 구룡공원 내","관리번호: T127"
"방범 CCTV","대한민국 서울특별시 금천구 독산로3길 19","37.4496839","126.90394939999999","독산로3길 19","관리번호: P160"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로39길 52-11","37.4471846","126.900488","시흥대로39길 52-11","관리번호: P161"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로2길 32","37.4345646","126.9051541","시흥대로2길 32","관리번호: P162"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로2길 60","37.4350043","126.90651720000005","시흥대로2길 60","관리번호: P163"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로2나길 28","37.4359959","126.90529600000002","시흥대로2나길 28","관리번호: P164"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로56길 40","37.4527834","126.90384310000002","시흥대로56길 40 금빛공원 뒤","관리번호: P165"
"방범 CCTV","대한민국 서울특별시 금천구 독산로44길 9","37.4609919","126.90529790000005","독산로44길 9","관리번호: P166"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로104길 10","37.4645607","126.89829050000003","시흥대로104길 10","관리번호: P167"
"방범 CCTV","대한민국 서울특별시 금천구 독산로24다길 44","37.4539377","126.9086208","독산로24다길 44","관리번호: P168"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로110길 21","37.4670965","126.89986750000003","시흥대로110길 21","관리번호: P169"
"방범 CCTV","대한민국 서울특별시 금천구 독산로99길 7","37.4748541","126.90282550000006","독산로99길 7","관리번호: P170"
"방범 CCTV","대한민국 서울특별시 금천구 은행나무로 21","37.4506891","126.90478350000001","은행나무로21","관리번호: P171"
"방범 CCTV","대한민국 서울특별시 금천구 독산로107길 13","37.4778365","126.90272540000001","독산로107길 13","관리번호: P172"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로150길 56","37.4763121","126.90187489999994","시흥대로150길 56","관리번호: P173"
"방범 CCTV","대한민국 서울특별시 금천구 독산로93길 18","37.4740151","126.90223300000002","독산로93길 18","관리번호: P174"
"방범 CCTV","대한민국 서울특별시 금천구 독산로 281-24","37.4713326","126.90251190000003","독산로281-24","관리번호: P175"
"방범 CCTV","대한민국 서울특별시 금천구 남부순환로126길 69","37.4773403","126.90761799999995","남부순환로126길 69","관리번호: P176"
"방범 CCTV","대한민국 서울특별시 금천구 독산로106길 31","37.477956","126.90560900000002","독산로106길 31","관리번호: P177"
"방범 CCTV","대한민국 서울특별시 금천구 독산로92길 16","37.4737131","126.90425540000001","독산로92길 16","관리번호: P178"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산동","37.4681147","126.89819369999998","독산동 971","관리번호: A122"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산동 산193-3","37.4675444","126.9074564","독산동 산193-3","관리번호: A123"
"공원방범 CCTV","대한민국 서울특별시 금천구 시흥동 871-24","37.4577162","126.90185410000003","시흥동 871-24","관리번호: A124"
"공원방범 CCTV","대한민국 서울특별시 금천구 시흥동 970-3","37.4348163","126.90489619999994","시흥동 970-3","관리번호: A125"
"공원방범 CCTV","대한민국 서울특별시 금천구 시흥동","37.4492857","126.91046619999997","시흥동 817","관리번호: A126"
"공원방범 CCTV","대한민국 서울특별시 금천구 시흥동 925-32","37.4481155","126.9085675","시흥동 925-32","관리번호: A127"
"공원방범 CCTV","대한민국 서울특별시 금천구 시흥동","37.4492857","126.91046619999997","시흥동 731","관리번호: A128"
"어린이보호 CCTV","대한민국 서울특별시 금천구 시흥대로90길 63","37.462974","126.90072029999999","시흥대로90길63","관리번호: C123"
"어린이보호 CCTV","대한민국 서울특별시 금천구 남부순환로128길 71","37.47749659999999","126.90893510000001","남부순환로128길71","관리번호: C124"
"방범 CCTV","대한민국 서울특별시 금천구 독산로84길 27","37.472211","126.90483019999999","독산로84길27","관리번호: P283"
"방범 CCTV","대한민국 서울특별시 금천구 독산로80길 23-4","37.4708141","126.90470359999995","독산로80길23-4","관리번호: P284"
"방범 CCTV","대한민국 서울특별시 금천구 시흥대로37길 10","37.4456743","126.90298959999995","시흥대로 37길 10","관리번호: P285"
"공원방범 CCTV","대한민국 서울특별시 금천구 가산동 28-2","37.4827926","126.88448070000004","가산동 28-2","관리번호: A120"
"공원방범 CCTV","대한민국 서울특별시 금천구 독산동 378-4","37.46563260000001","126.90630639999995","독산동 378-4","관리번호: A121"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 353","37.4783869","126.90358679999997","독산로353 캐슬PC방","관리번호: N113"
"주정차단속 CCTV","대한민국 서울특별시 금천구 금하로 717","37.4508071","126.90965289999997","금하로717","관리번호: N114"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 238-1","37.4680578","126.90237100000001","독산로238-1","관리번호: N115"
"주정차단속 CCTV","대한민국 서울특별시 금천구 금하로 668","37.4525867","126.90430029999993","금하로668","관리번호: N116"
"주정차단속 CCTV","대한민국 서울특별시 금천구 금하로 635","37.4548885","126.90183780000006","금하로635","관리번호: N117"
"주정차단속 CCTV","대한민국 서울특별시 금천구 범안로 1209","35.8284724","128.6552358","범안로1209 유창빌딩","관리번호: N118"
"주정차단속 CCTV","대한민국 서울특별시 중랑구 신내동 479 중앙하이츠아파트","37.6031991","127.09795680000002","범안로1138 중앙하이츠아파트","관리번호: N119"
"주정차단속 CCTV","대한민국 서울특별시 금천구 가산디지털1로 165","37.4801705","126.8811402","가산디지털1로 165","관리번호: N120"
"주정차단속 CCTV","대한민국 서울특별시 금천구 디지털로10길 22","37.4766347","126.88829179999993","디지털로10길 22","관리번호: N121"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 16","37.4487897","126.90478970000004","독산로16 성광교회","관리번호: N122"
"주정차단속 CCTV","대한민국 서울특별시 금천구 금하로 694","37.4515704","126.90713159999995","금하로694","관리번호: N123"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 118","37.4577933","126.90550159999998","독산로118 세광어린이집","관리번호: N124"
"주정차단속 CCTV","대한민국 서울특별시 금천구 문성로 14-1","37.47620819999999","126.90523989999997","문성로14-1","관리번호: N125"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 335-1","37.4767561","126.90340370000001","독산로335-1","관리번호: N126"
"주정차단속 CCTV","대한민국 서울특별시 금천구 가산로 7","37.4707734","126.90197060000002","가산로7 예수비전교회 부근","관리번호: N127"
"주정차단속 CCTV","대한민국 서울특별시 금천구 범안로 1246","35.8284724","128.6552358","범안로1256 독산역길끝","관리번호: N128"
"주정차단속 CCTV","대한민국 서울특별시 금천구 독산로 41","37.4509954","126.90575100000001","독산로41 은행나무길확장도로","관리번호: N129"
"주정차단속 CCTV","대한민국 서울특별시 금천구 은행나무로 12","37.4500189","126.90383489999999","은행나무로12","관리번호: N130"
"주정차단속 CCTV","대한민국 서울특별시 금천구 디지털로 193","37.4787914","126.88805300000001","디지털로193","관리번호: N131"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로70길 9","37.4665624","126.90231259999996","독산로70길 9","관리번호: G101"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로70가길 17","37.4671168","126.90263679999998","독산로70가길 17","관리번호: G102"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로70길 23-7","37.46692549999999","126.90298889999997","독산로70길 23-7","관리번호: G103"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로74길 21-13","37.4690511","126.90406570000004","독산로74길 21-13","관리번호: G104"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로78다길 39","37.4700658","126.9059241","독산로78다길 39","관리번호: G105"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로72길 11-16","37.4684445","126.90306959999998","독산로72길 11-16","관리번호: G106"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로74길 20","37.4685075","126.90355019999992","독산로74길 20","관리번호: G107"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로78다길 22","37.46932899999999","126.90517180000006","독산로78다길 22","관리번호: G108"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로78다길 53","37.470488","126.906568","독산로78다길 53","관리번호: G109"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로80길 11-21","37.4717135","126.90375440000002","독산로80길 11-21","관리번호: G110"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로82길 18","37.4715256","126.90476330000001","독산로82길 18","관리번호: G111"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로82길 8","37.4715913","126.90417560000003","독산로82길 8","관리번호: G112"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로82길 28","37.4714574","126.90538270000002","독산로82길 28","관리번호: G113"
"그린파킹 CCTV","대한민국 서울특별시 금천구 독산로82길 42","37.4713566","126.90617099999997","독산로82길 42","관리번호: G114"
